state,name,MME,transaction_year,fips
GA,heard,1475557.95,2015-01-01,13149
GA,webster,331832.775,2015-01-01,13307
GA,twiggs,848720.6625000001,2015-01-01,13289
GA,clay,296724.4875,2015-01-01,13061
GA,wheeler,906661.125,2015-01-01,13309
GA,morgan,7812536.775,2016-01-01,13211
GA,houston,58547861.3901,2016-01-01,13153
GA,catoosa,33243615.42,2016-01-01,13047
GA,cobb,219106108.9317,2016-01-01,13067
GA,habersham,21378324.4575,2016-01-01,13137
GA,rabun,12711010.497,2016-01-01,13241
GA,columbia,54714897.7575,2016-01-01,13073
GA,fulton,201343325.86935,2016-01-01,13121
GA,newton,31162946.7,2016-01-01,13217
GA,chatham,109441520.26305,2016-01-01,13051
GA,elbert,17290193.955000002,2016-01-01,13105
GA,gwinnett,203982367.464,2016-01-01,13135
GA,liberty,13661318.22,2016-01-01,13179
GA,lamar,6457365.48,2016-01-01,13171
GA,upson,15255856.4175,2016-01-01,13293
GA,dawson,11498397.8025,2016-01-01,13085
GA,putnam,5717531.55,2016-01-01,13237
GA,henry,67911025.1928,2016-01-01,13151
GA,coffee,32415582.9375,2016-01-01,13069
GA,douglas,66393036.8142,2016-01-01,13097
GA,dougherty,28707233.13375,2016-01-01,13095
GA,dekalb,127572358.47495,2016-01-01,13089
GA,hart,11051366.3628,2016-01-01,13147
GA,fannin,18580240.6401,2016-01-01,13111
GA,paulding,41980191.47625,2016-01-01,13223
GA,polk,29310217.9875,2016-01-01,13233
GA,bulloch,23956394.65875,2016-01-01,13031
GA,lowndes,40661209.5318,2016-01-01,13185
GA,grady,6124352.17125,2016-01-01,13131
GA,monroe,7127555.2725,2016-01-01,13207
GA,muscogee,65314291.4109,2016-01-01,13215
GA,emanuel,11996565.2025,2016-01-01,13107
GA,baldwin,19115396.0325,2016-01-01,13009
GA,richmond,84812023.25625,2016-01-01,13245
GA,appling,8765632.425,2016-01-01,13001
GA,spalding,36325064.9625,2016-01-01,13255
GA,tift,22510963.4625,2016-01-01,13277
GA,cherokee,69190005.2544,2016-01-01,13057
GA,glynn,27030611.2239,2016-01-01,13127
GA,forsyth,56517771.2739,2016-01-01,13117
GA,clayton,47075790.1206,2016-01-01,13063
GA,bartow,57473099.9328,2016-01-01,13015
GA,benhill,10910749.2225,2016-01-01,13017
GA,bacon,10473198.1725,2016-01-01,13005
GA,wayne,19858012.2,2016-01-01,13305
GA,stephens,29148542.6775,2016-01-01,13257
GA,fayette,40294107.5514,2016-01-01,13113
GA,jackson,40407524.7465,2016-01-01,13157
GA,barrow,34028770.92,2016-01-01,13013
GA,troup,23664585.615,2016-01-01,13285
GA,clarke,71700387.7989,2016-01-01,13059
GA,walker,22433878.51125,2016-01-01,13295
GA,carroll,69186054.42495,2016-01-01,13045
GA,mcduffie,12636732.3525,2016-01-01,13189
GA,bleckley,10564584.2175,2016-01-01,13023
GA,lumpkin,10766597.7639,2016-01-01,13187
GA,whitfield,48537709.5603,2016-01-01,13313
GA,jefferson,6197975.1975,2016-01-01,13163
GA,effingham,18661866.02655,2016-01-01,13103
GA,ware,29598226.67625,2016-01-01,13299
GA,harris,1688217.135,2016-01-01,13145
GA,chattooga,15238006.8225,2016-01-01,13055
GA,union,8685235.9125,2016-01-01,13291
GA,hall,84570461.9064,2016-01-01,13139
GA,rockdale,47849270.295,2016-01-01,13247
GA,dodge,15907783.0425,2016-01-01,13091
GA,crawford,2351611.6875,2016-01-01,13079
GA,laurens,26135752.9275,2016-01-01,13175
GA,worth,6598453.245,2016-01-01,13321
GA,colquitt,14155650.2979,2016-01-01,13071
GA,haralson,36364462.695,2016-01-01,13143
GA,crisp,15904349.505,2016-01-01,13081
GA,murray,20659692.96,2016-01-01,13213
GA,gordon,26729329.05,2016-01-01,13129
GA,bibb,108041873.0553,2016-01-01,13021
GA,white,15688470.51,2016-01-01,13311
GA,butts,15459353.26875,2016-01-01,13035
GA,burke,7316414.37,2016-01-01,13033
GA,floyd,68487543.14625,2016-01-01,13115
GA,peach,9028685.9025,2016-01-01,13225
GA,tattnall,11862354.6,2016-01-01,13267
GA,decatur,10250029.1064,2016-01-01,13087
GA,mcintosh,9146593.8825,2016-01-01,13191
GA,montgomery,1081472.9289,2016-01-01,13209
GA,taylor,2932419.4725,2016-01-01,13269
GA,washington,5449508.67,2016-01-01,13303
GA,sumter,9874153.4625,2016-01-01,13261
GA,evans,7343117.9025,2016-01-01,13109
GA,screven,4083292.005,2016-01-01,13251
GA,thomas,13786223.7525,2016-01-01,13275
GA,camden,19742522.2575,2016-01-01,13039
GA,wheeler,719021.715,2016-01-01,13309
GA,telfair,9728306.2125,2016-01-01,13271
GA,lincoln,3194429.58,2016-01-01,13181
GA,coweta,51888997.55625,2016-01-01,13077
GA,oglethorpe,4056557.4975,2016-01-01,13221
GA,pickens,19606333.0725,2016-01-01,13227
GA,walton,43879694.17185,2016-01-01,13297
GA,mitchell,7883426.7525,2016-01-01,13205
GA,jeffdavis,12274127.6892,2016-01-01,13161
GA,candler,6442188.57,2016-01-01,13043
GA,wilcox,3455120.38125,2016-01-01,13315
GA,terrell,2870537.26875,2016-01-01,13273
GA,oconee,10519906.185,2016-01-01,13219
GA,greene,10824657.04125,2016-01-01,13133
GA,toombs,13112058.03,2016-01-01,13279
GA,gilmer,23496567.80625,2016-01-01,13123
GA,madison,19299726.03,2016-01-01,13195
GA,lee,4829811.915,2016-01-01,13177
GA,webster,424685.4039,2016-01-01,13307
GA,bryan,24158137.09875,2016-01-01,13029
GA,franklin,24098056.9428,2016-01-01,13119
GA,randolph,1502629.0275,2016-01-01,13243
GA,towns,4485415.2225,2016-01-01,13281
GA,pierce,11887775.8575,2016-01-01,13229
GA,seminole,3790572.21,2016-01-01,13253
